Database,Duplicate ID,Isolation Level,Transaction Mode,# Transaction,BEGIN,START TRANSACTION / XA START,START TRANSACTION WITH CONSISTENT SNAPSHOT / START TRANSACTION READ ONLY,SET AUTOCOMMIT=0,COMMIT / XA COMMIT,ROLLBACK / XA ROLLBACK,SELECT,SELECT ... FOR SHARE,SELECT ... FOR UPDATE / FOR UPDATE SKIP LOCKED,INSERT,REPLACE / REPLACE ... SELECT,UPDATE,DELETE,ALTER,CREATE / DROP TABLE / TABLESPACE / TEMPORARY TABLE / SEQUENCE,CHECK TABLE,SHOW,SET,COMMENT ON,RESET,SAVEPOINT / ROLLBACK TO,ANALYZE,ADMIN,EXPLAIN,Cluster,Key,Index,Data Constraint,Partition,Deterministic?,id
MySQL,-,unspecified,Pessimistic,2,-,Yes,-,-,Yes,-,-,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,-,-,-,-,Yes,MySQL_103672
MySQL,-,unspecified,Pessimistic,4,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
DEFAULT NULL
AUTO_INCREMENT",-,Yes,MySQL_101706
MySQL,-,REPEATABLE READ,Pessimistic,3,Yes,-,-,-,Yes,-,Yes,-,-,Yes,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,Yes,Yes,-,NOT NULL,-,"No, need control (inject crash)",MySQL_99174
MySQL,-,REPEATABLE READ,Pessimistic,2,-,-,Yes,-,-,-,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,Yes,"NOT NULL
DEFAULT NULL
DEFAULT '0'",-,Yes,MySQL_98642
MySQL,-,READ COMMITTED,Pessimistic,3,-,Yes,-,-,Yes,Yes,Yes,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
DEFAULT NULL",-,Yes,MySQL_107898
MySQL,-,unspecified,Pessimistic,3,Yes,-,-,-,Yes,Yes,Yes,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
DEFAULT NULL
AUTO_INCREMENT",-,Yes,MySQL_107066
MySQL,-,REPEATABLE READ,Pessimistic,5,Yes,Yes,-,-,-,-,Yes,-,-,-,Yes,-,Yes,-,-,-,Yes,Yes,-,-,-,-,-,-,Yes,Yes,-,"NOT NULL
AUTO_INCREMENT",-,"No, need control (sleep)",MySQL_106818
MySQL,-,unspecified,Pessimistic,1,Yes,-,-,-,-,-,-,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,Yes,-,"NOT NULL
AUTO_INCREMENT",-,Yes,MySQL_104245
MySQL,-,unspecified,Pessimistic,4,-,Yes,-,-,Yes,-,Yes,-,-,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,Yes,Yes,-,AUTO_INCREMENT,-,"No, need repeat",MySQL_102992
MySQL,-,unspecified,Pessimistic,3,Yes,-,-,-,-,-,-,-,Yes,Yes,-,-,-,-,-,-,Yes,-,-,-,-,-,-,-,-,-,-,-,-,Yes,MySQL_102967
